Enemy Name,HP,PP,Offense,Defense,Speed,Guts,Exp,Money
Abstract Art,301,60,67,79,19,7,4361,255
Annoying Old Party Man,99,0,20,25,6,50,130,32
Annoying Reveler,288,0,58,77,17,50,2373,268
Arachnid!,216,0,61,30,23,3,4933,296
Arachnid!!!,344,0,87,86,20,4,10449,412
Armored Frog,202,0,37,108,7,5,1566,77
Atomic Power Robot,594,0,119,133,25,8,26937,730
Attack Slug,30,6,9,2,1,0,27,6
Bad Buffalo,341,0,64,104,11,5,4108,172
Beautiful UFO,339,15,86,87,59,1,8257,426
Big Pile of Puke,631,0,120,158,16,26,19659,728
Bionic Kraken,900,60,155,195,42,1,50308,960
Black Antoid,34,25,14,13,4,3,37,7
Boogey Tent,579,56,43,69,10,16,5500,407
Captain Strong,140,0,20,24,15,8,492,159
Carbon Dog,1672,0,159,174,31,52,0,0
Care Free Bomb,504,0,135,215,31,15,14941,641
Cave Boy 1,314,0,21,33,5,0,618,17
Cave Boy 2,314,0,21,33,79,0,618,17
Chomposaur,1288,320,139,183,17,3,44378,896
Clumsy Robot,962,0,88,137,83,30,32378,2081
Coil Snake,18,0,3,4,2,0,1,4
Conducting Menace,445,238,107,107,20,5,14792,574
Conducting Spirit,587,329,130,139,26,5,30390,804
Cop,75,0,15,18,5,7,86,18
Cranky Lady,95,0,16,18,6,3,200,17
Crazed Sign,295,98,64,96,17,5,3618,244
Crested Booka,265,0,53,73,17,24,3011,130
Criminal Caterpillar,250,168,37,16,134,0,30384,0
Cute Li'l UFO,162,25,49,32,58,1,1519,110
Dali's Clock,296,0,65,66,4,5,2503,314
Deadly Mouse,416,0,63,98,18,225,9225,406
Demonic Petunia,478,0,102,111,26,5,15171,724
Dept. Store Spook,610,290,82,135,19,24,24291,1648
Desert Wolf,247,0,57,67,33,2,3740,114
Diamond Dog,3344,154,167,230,31,10,337738,6968
Dread Skelpion,214,125,82,57,40,88,9908,609
Ego Orb,592,0,125,140,17,1,24180,836
Elder Batty,294,0,66,72,33,8,4177,371
Electro Specter,3092,80,148,203,29,47,261637,6564
Electro Swoosh,543,338,140,156,40,5,17075,791
Enraged Fire Plug,309,0,60,81,14,5,4321,346
Even Slimier Little Pile,326,0,103,101,22,9,15075,579
Everdred,182,0,25,35,6,10,986,171
